,Unnamed: 0,BoroCT2010,311 calls,Total Households,Median Income,Total cars,Total educated,Total High School,Total bachelors,Total masters,Total PHD,Median Age,Total households,Total family households,Total non-family households,Median House Value,Total Hunits,Owner Occupied,Renter Occupied,Total Population,White only,Black only,Asian only,Hispanic only,Other Only,Median Rent,Normalized 311 calls,Normalized cars,Normalized High school,Normalized bachelors,Normalized masters,Normalized PHD,Normalized familiy household,Normalized non-family household,Normalized owner ocuppied,Normalized renter ocuppied,Normalized white only,Normalized black only,Normalized asian only,Normalized hispanic only,Normalized other only
1291,1291,3117000,453,577.0,37463.0,302.0,1036.0,372.0,61.0,8.0,0.0,30.5,577.0,451.0,126.0,369700.0,1814.0,297.0,1517.0,1817.0,69.0,643.0,44.0,929.0,132.0,1220.0,0.249312052834,0.523396880416,204.7330765,33.5718216841,4.40286186021,0.0,0.781629116118,0.218370883882,0.163726571114,0.836273428886,0.0379746835443,0.353880022014,0.0242157402312,0.511282333517,0.0726472206935
1292,1292,3117201,532,753.0,48897.0,645.0,1654.0,424.0,150.0,0.0,0.0,34.6,753.0,619.0,134.0,467400.0,2546.0,1116.0,1430.0,2546.0,104.0,339.0,109.0,1937.0,57.0,1353.0,0.208955223881,0.856573705179,166.535742341,58.9159465829,0.0,0.0,0.822045152722,0.177954847278,0.438334642577,0.561665357423,0.0408483896308,0.133150039277,0.0428122545169,0.760801256874,0.0223880597015
1293,1293,3117202,589,1028.0,45938.0,583.0,1917.0,753.0,221.0,30.0,0.0,34.6,1028.0,770.0,258.0,442100.0,3093.0,1042.0,2051.0,3107.0,128.0,932.0,99.0,1906.0,42.0,1317.0,0.189571934342,0.567120622568,242.355970389,71.129707113,9.65561635018,0.0,0.749027237354,0.250972762646,0.336889751051,0.663110248949,0.0411972964274,0.299967814612,0.0318635339556,0.613453492115,0.0135178628902
1294,1294,3117400,667,1092.0,49472.0,617.0,2326.0,1071.0,185.0,71.0,14.0,29.6,1092.0,884.0,208.0,421300.0,3944.0,1131.0,2813.0,3956.0,116.0,657.0,370.0,2813.0,0.0,1458.0,0.168604651163,0.565018315018,270.728008089,46.7644084934,17.947421638,3.53892821031,0.809523809524,0.190476190476,0.286764705882,0.713235294118,0.0293225480283,0.166076845298,0.0935288169869,0.711071789687,0.0
1295,1295,3117601,696,842.0,43000.0,534.0,1798.0,809.0,80.0,43.0,11.0,31.2,842.0,682.0,160.0,423600.0,3102.0,953.0,2149.0,3116.0,115.0,626.0,76.0,2299.0,0.0,1362.0,0.223363286264,0.634204275534,259.627727856,25.6739409499,13.7997432606,3.53016688062,0.809976247031,0.190023752969,0.307221147647,0.692778852353,0.0369062901155,0.200898587933,0.0243902439024,0.737804878049,0.0
1296,1296,3117602,678,926.0,31543.0,352.0,1784.0,669.0,156.0,36.0,3.0,30.6,926.0,639.0,287.0,425300.0,2911.0,728.0,2183.0,2911.0,141.0,473.0,49.0,2179.0,69.0,1180.0,0.23290965304,0.380129589633,229.817931982,53.589831673,12.3668842322,1.03057368602,0.690064794816,0.309935205184,0.250085881141,0.749914118859,0.0484369632429,0.162487117829,0.0168327035383,0.748540020611,0.0237031947784
1297,1297,3117800,330,477.0,36555.0,276.0,1017.0,305.0,152.0,13.0,0.0,35.0,477.0,400.0,77.0,442000.0,1656.0,360.0,1296.0,1693.0,31.0,437.0,209.0,941.0,75.0,1240.0,0.194920259894,0.578616352201,180.153573538,89.7814530419,7.6786769049,0.0,0.83857442348,0.16142557652,0.217391304348,0.782608695652,0.0183106910809,0.258121677496,0.123449497933,0.555818074424,0.0443000590667
1298,1298,3118000,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,1299,3118201,469,880.0,35789.0,444.0,1773.0,664.0,136.0,60.0,0.0,27.4,880.0,711.0,169.0,557100.0,3081.0,964.0,2117.0,3081.0,211.0,782.0,90.0,1998.0,0.0,1231.0,0.152223304122,0.504545454545,215.514443363,44.1415124959,19.4741966894,0.0,0.807954545455,0.192045454545,0.312885426809,0.687114573191,0.0684842583577,0.253813696852,0.0292112950341,0.648490749757,0.0
1300,1300,3118202,761,863.0,43385.0,519.0,1587.0,571.0,147.0,80.0,0.0,33.3,863.0,667.0,196.0,341800.0,2642.0,1054.0,1588.0,2642.0,195.0,389.0,137.0,1904.0,17.0,1238.0,0.288039364118,0.601390498262,216.124148372,55.639666919,30.2800908403,0.0,0.772885283893,0.227114716107,0.398940196821,0.601059803179,0.0738077214232,0.147236941711,0.051854655564,0.720666161998,0.00643451930356
