,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n,rent 2000 or more_n
141,Prospect Lefferts Gardens-Wingate,9144.636694,13514.11382,4304.249486,7468.51643,10802.826,2563.989224,5483.741044,643.9273,17706.75107,9226.248931,6525.230371,4289.420807,2004.845503,219.2888877,4527.09529,8989.001699,15251.62571,5983.542073,6374.885967,5541.200383,70.76281407,27023,13299.35526,10630.02782,15068.65093,1543.08879,13306.79177,11637.11944,8027.069756,16105.52587,1539.461974,2780.404379
142,Queens Village,2461.327037,4084.259237,1295.413726,2094.14359,2430.779901,1121.456179,1843.076817,351.543513,5689.333068,2132.666932,1964.219725,1213.44869,552.3630092,55.92401015,889.3385535,3800.206537,3342.032438,1646.961431,2743.845624,1489.773393,11.36500495,7882,3064.930133,2757.841326,4493.258559,401.0638128,4792.232306,2559.703881,1896.951751,4849.500261,335.862226,1062.547988
143,Queensboro Hill,3463.839905,5858.156469,2011.003626,3861.800437,1896.448519,2772.228769,2390.084246,412.4380286,7998.075256,3325.924744,2602.856187,2058.742357,977.1584832,112.6353963,1219.459085,5593.372719,4756.682845,2368.524471,3959.748449,2138.114355,17.42079348,11351,4410.26817,4113.355598,7081.665781,549.7172747,5865.897585,4835.385141,2443.007565,7049.375164,565.5759007,1800.617272
144,Queensbridge-Ravenswood-Long Island City,13715.8806,20519.19332,6586.926079,14888.06591,8275.031009,5423.341033,11080.80386,1154.758185,26371.33441,14401.66559,9122.852258,7358.940755,3487.067432,428.1450901,6254.287561,14693.60726,22140.05855,8571.33644,11249.36248,8250.774091,110.3108268,40913,19505.14234,16074.08092,26364.85503,2526.880387,20625.33382,16913.78579,11091.26,23807.51872,2588.299403,5821.221281
145,Rego Park,5759.964555,8917.02489,2983.010555,6200.8914,3515.713831,2754.46687,4702.006105,486.9217941,11707.38055,5925.619451,4101.046805,3017.966531,1370.45374,161.0454917,2764.195928,6368.292897,9611.972343,3729.203135,4668.567339,3494.788,38.89312836,17679,8564.990021,6820.020862,10043.0114,1094.360742,9291.114092,6970.525164,4956.015665,10629.92279,1056.250496,2016.061543
146,Richmond Hill,7592.980164,12218.3437,3823.676134,7064.526539,5721.10911,3656.120813,6024.081334,1169.162205,16911.69099,6695.309008,5894.843557,3704.361511,1666.086567,173.8023189,2951.646332,10500.84105,10960.18483,5033.912326,7521.829821,4575.27985,39.05516507,23700,9753.458418,8511.699676,13209.84057,1227.186764,13709.86564,8425.947599,5821.58002,14957.21697,1125.396124,2757.203015
147,Ridgewood,5812.994227,8595.251408,2637.754366,6092.973371,3209.367683,2130.967679,5189.329815,423.3614525,11449.79837,5574.201633,4164.0645,2704.425306,1203.800444,130.393333,2607.013771,5951.091037,9376.273152,3732.587452,4408.071446,3444.461435,52.27941321,17142,7904.602912,6483.484429,9830.521646,936.3795336,8442.274321,7425.346145,4461.742067,10607.82275,1001.700869,1930.435186
148,Rosedale,1486.668687,2474.958853,801.3724602,1494.149053,1398.973135,638.4787109,1055.872817,175.5262832,3413.29351,1337.70649,1177.356267,750.4862496,356.9710379,36.15868708,572.2498577,2321.118849,2011.765866,963.2100759,1732.000028,904.537467,7.283624358,4782,1855.57439,1688.80288,2791.272413,256.9882899,2886.142494,1571.869216,1160.838987,2890.664574,210.3184552,688.4964389
149,Rossville-Woodrow,604.3563405,1125.206499,349.4371607,1365.951348,153.9898993,179.1508706,347.6062667,32.30161525,1555.646429,521.3535708,559.5984848,350.8917913,173.7303666,17.38036061,189.9068193,1322.511265,593.8069264,451.666749,935.2890061,349.5250816,1.996602204,2082,644.5631465,610.9205859,1404.738127,77.67410492,1148.477399,844.8484958,578.3356693,1190.055259,72.90879938,308.6090716
150,Rugby-Remsen Village,4369.285725,6784.175721,2122.538555,3092.571769,6679.53612,1038.339478,2161.314952,304.2376804,9044.350917,4214.649083,3424.775369,1981.160073,916.5481005,91.656353,2078.882726,4820.970869,7137.86841,3040.860234,3368.070742,2732.94279,26.55271302,13300,6183.085857,5115.860875,6945.22276,700.3375964,7131.286955,5299.375448,3765.993011,8313.102986,644.8718236,1166.904003
151,Schuylerville-Throgs Neck-Edgewater Park,2686.88669,4149.449806,1424.663504,2635.846261,1761.186197,681.0059443,2999.447128,183.5144695,5531.7124,2698.2876,1967.641239,1173.711924,568.7814185,71.4168289,1328.389058,2963.901412,4495.561904,1668.04668,2465.869483,1476.943928,12.49222049,8277,3887.58845,2982.474901,4503.119338,689.8747224,4827.779718,2534.345559,2481.945524,4871.889371,423.4242307,869.1651055
